gene_id	Tamaulipas-pistils-0hr-25C-R1_	Tamaulipas-pistils-0hr-25C-R2_	Tamaulipas-pistils-3hr-25C-R1_	Tamaulipas-pistils-3hr-25C-R2_	Tamaulipas-pistils-3hr-37C-R1_	Tamaulipas-pistils-3hr-37C-R2_	Tamaulipas-pistils-8hr-25C-R1_	Tamaulipas-pistils-8hr-25C-R2_	Tamaulipas-pistils-8hr-37C-R1_	Tamaulipas-pistils-8hr-37C-R2_
Solyc04g050820.3.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.075264	0.047243	0.000000
Solyc04g050822.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050824.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050826.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050828.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092630	0.000000	0.000000	0.000000
Solyc04g050840.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050850.3.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050860.3.1	0.031864	0.074154	0.000000	0.110307	0.131724	0.000000	0.033477	0.038552	0.055819	0.079135
Solyc04g050863.1.1	0.000000	0.000000	0.106697	0.067813	0.197499	0.000000	0.000000	0.073318	0.241252	0.076709
Solyc04g050865.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.096707	0.000000	0.000000
Solyc04g050867.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050890.1.1	0.000000	0.000000	0.000000	0.000000	0.331566	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g150136.1.1	0.160333	0.000000	0.000000	0.201860	0.084135	0.119784	0.000000	0.423563	0.556132	0.109114
Solyc04g050910.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050920.3.1	2.605656	6.745877	1.216641	3.119662	1.391872	2.260047	3.578773	5.056116	5.897625	4.347622
Solyc04g050930.3.1	14.275144	15.776101	17.638704	19.846434	14.385475	22.406986	26.538332	37.113911	47.955373	46.128182
Solyc04g050933.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g150137.1.1	0.000000	0.000000	0.000000	0.057023	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050937.1.1	0.094149	0.124828	0.000000	0.109932	0.031260	0.049808	0.144497	0.150627	0.084039	0.077594
Solyc04g050950.3.1	18.770324	22.106742	25.496125	19.174478	16.692763	16.946736	24.374899	35.985152	24.516682	34.780298
Solyc04g050955.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050960.3.1	0.388791	0.823405	0.330315	0.876195	0.988263	1.451394	1.406515	1.852466	2.306848	2.636294
Solyc04g050970.3.1	0.273319	1.345897	0.131479	1.698217	0.726272	0.202711	0.443403	1.460144	0.316696	0.082586
Solyc04g050980.1.1	0.000000	0.000000	0.000000	0.000000	0.148780	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050990.3.1	9.561724	16.555807	3.070270	3.378336	3.919249	5.007906	4.075880	5.249329	6.468157	8.914301
Solyc04g051020.2.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.106268	0.000000
Solyc04g051030.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051040.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g150138.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051050.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051060.2.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051070.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051080.2.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051090.2.1	0.000000	0.454724	1.293063	3.618534	0.000000	0.000000	0.421565	1.462493	0.000000	0.000000
Solyc04g051095.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041586	0.000000	0.000000	0.000000
Solyc04g051100.3.1	1.676544	3.008293	1.654748	3.029157	5.801068	3.616903	2.244917	2.682783	3.966195	7.084095
Solyc04g051120.4.1	7.294573	6.917620	7.872811	8.033345	9.579968	11.760841	6.613761	7.214685	12.002260	9.107543
Solyc04g051140.3.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051150.3.1	12.399612	13.962717	10.681919	8.222978	9.251214	7.073254	9.361269	7.152953	12.176318	6.718178
Solyc04g051155.1.1	0.000000	0.000000	0.065614	0.000000	0.018999	0.000000	0.120005	0.020559	0.000000	0.000000
Solyc04g051160.1.1	0.000000	0.000000	0.022086	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051170.1.1	0.211125	0.036929	0.000000	0.145694	0.000000	0.000000	0.036066	0.038888	0.000000	0.000000
Solyc04g051180.1.1	0.000000	0.000000	0.000000	0.097184	0.000000	0.118427	0.000000	0.000000	0.000000	0.000000
Solyc04g051183.1.1	0.000000	0.000000	0.000000	0.188418	0.000000	0.000000	0.000000	0.000000	0.215643	0.000000
Solyc04g051187.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051190.3.1	56.775003	71.165282	49.018649	43.929190	25.485116	27.598629	42.393645	46.087268	37.530961	35.477661
Solyc04g051200.2.1	66.288248	71.093287	67.167118	69.095437	93.338508	95.609601	51.794602	59.027480	81.973718	71.187515
Solyc04g150139.1.1	12.194722	9.658115	16.103664	11.183203	25.579791	31.763364	10.127765	11.019919	24.371382	17.604176
Solyc04g051220.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051230.3.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051235.1.1	0.000000	0.627589	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051240.1.1	2.037419	0.000000	1.574164	2.514834	0.000000	0.000000	1.049228	0.551563	3.488648	0.581584
Solyc04g051241.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051242.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051244.1.1	0.170228	0.060951	0.089737	0.058655	0.735075	0.261625	0.231988	0.093925	0.806710	0.421061
Solyc04g051246.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051248.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051270.2.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051275.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051280.4.1	16.997832	22.536371	20.339133	26.210487	69.334024	57.767477	38.890834	40.200518	109.847261	111.344697
Solyc04g051290.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051293.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051295.1.1	1.608488	0.439044	3.121186	3.108650	2.400994	0.549832	6.105420	2.348852	1.359981	1.955967
Solyc04g051297.1.1	3.702582	3.324022	5.193663	5.231421	7.350962	2.167333	4.061641	4.243094	4.620989	4.568791
Solyc04g051310.4.1	15.538154	12.987037	12.205808	9.258653	13.470351	12.169875	12.676930	11.903047	18.514253	11.671051
Solyc04g051320.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051330.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051340.3.1	41.594632	47.287472	53.054860	44.254447	54.833125	53.225514	41.073556	46.486758	51.896356	48.075286
Solyc04g051350.3.1	2.236480	2.299942	1.870841	2.388129	2.932424	2.984727	2.525548	2.528128	5.498957	4.161875
Solyc04g051360.3.1	0.457501	0.054419	0.042731	0.051895	0.182908	0.136797	0.135570	0.111767	0.000000	0.174011
Solyc04g051370.4.1	50.313154	49.095036	50.065924	39.536216	69.196061	57.029822	60.565300	38.152004	79.384203	53.032652
Solyc04g051380.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051390.2.1	0.201633	0.211895	0.472885	0.536018	0.895212	0.560536	0.000000	0.577479	2.307704	1.448634
Solyc04g051400.2.1	0.000000	0.081771	0.369398	0.410549	0.154667	0.673578	0.079934	0.530114	0.277696	0.576690
Solyc04g051410.4.1	1.416973	1.621603	1.755043	1.729884	1.529505	2.223844	1.537664	1.932339	2.556740	2.674202
Solyc04g051420.3.1	0.000000	0.000000	0.147538	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051427.2.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051440.1.1	0.000000	0.072612	0.000000	0.243065	0.000000	0.094467	0.186379	0.000000	0.000000	0.000000
Solyc04g051450.3.1	5.217744	4.714149	4.929106	3.883399	7.533567	5.859608	8.698831	4.783829	7.438288	4.597454
Solyc04g051460.4.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g051470.1.1	0.449431	0.470983	0.000000	0.000000	0.000000	0.000000	0.000000	0.510320	0.000000	0.000000
Solyc04g051475.1.1	0.000000	0.000000	0.000000	0.407211	0.000000	0.260684	0.000000	0.000000	0.315901	0.227951
